refDes,temperature,salinity,conductivity,density,oxygen,sea_water_pressure,nitrate,chlorophyll,par,pco2,ph,spectral_irradiance_412nm,spectral_irradiance_443nm,spectral_irradiance_490nm,spectral_irradiance_510nm,spectral_irradiance_555nm,spectral_irradiance_620nm,spectral_irradiance_683nm,velocity_east,velocity_north,velocity_up,percent_good_beam,echo_intensity,correlation_magnitude,error_seawater_velocity,resistivity,cdom,backscatter,vent_temperature,seafloor_pressure,seawater_pressure_mbar,bottom_pressure_psi,mean_seafloor_depth,seafloor_uplift_10m,seafloor_uplift_5m,seafloor_uplift_predicted_tide,dark_counts,ratios
CE04OSPS-PC01B-4D-PCO2WA105,,,,,,,,,,"{'local':[800,1700]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-4F-PCO2WA101,,,,,,,,,,"{'local_profile':[30,1400]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-SF03A-4F-PCO2WA301,,,,,,,,,,"{'local_profile':[350,1050]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHBP-LJ01D-09-PCO2WB103,,,,,,,,,,"{'local':[470,2700]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP-LJ01C-09-PCO2WB104,,,,,,,,,,"{'local':[1500,1900]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-SF01B-2B-PHSENA108,,,,,,,,,,,"{'local_profile':[7,9.5]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-PC01B-4B-PHSENA106,,,,,,,,,,,"{'local':[7.5,7.9]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A-4B-PHSENA102,,,,,,,,,,,"{'local':[7.5,8]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-2D-PHSENA101,,,,,,,,,,,"{'local_profile':[7.4,8.4]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A-4B-PHSENA302,,,,,,,,,,,"{'local':[7.6,7.9]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-SF03A-2D-PHSENA301,,,,,,,,,,,"{'local_profile':[7,8.5]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-PC01B-4C-PHSENH109,,,,,,,,,,,"{'local':[7,9]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
CE02SHBP-LJ01D-10-PHSENH110,,,,,,,,,,,"{'local':[7,9]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSBP-LJ01C-10-PHSEND107,,,,,,,,,,,"{'local':[7.4,8]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
CE04OSPS-SF01B-3D-SPKIRA102,,,,,,,,,,,,"{'local_profile':[0,18]}","{'local_profile':[0,30]}","{'local_profile':[0,39]}","{'local_profile':[0,34]}","{'local_profile':[0,24]}","{'local_profile':[0,2]}","{'local_profile':[0,0.5]}",,,,,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-3D-SPKIRA101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-SF03A-3D-SPKIRA301,,,,,,,,,,,,"{'local_profile':[0,10]}","{'local_profile':[0,15]}","{'local_profile':[0,21]}","{'local_profile':[0,20]}","{'local_profile':[0,12]}","{'local_profile':[0,2.25]}","{'local_profile':[0,1]}",,,,,,,,,,,,,,,,,,,,
CE04OSPS-SF01B-4B-VELPTD106,,,,,,,,,,,,,,,,,,,"{'local_profile':[-2.5,2.5]}","{'local_profile':[-2.5,2.5]}","{'local_profile':[-4,4]}",,,,,,,,,,,,,,,,,
RS01SBPS-SF01A-4B-VELPTD102,,,,,,,,,,,,,,,,,,,"{'local_profile':[-1.6,1.6]}","{'local_profile':[-1.6,2]}","{'local_profile':[-2,1.6]}",,,,,,,,,,,,,,,,,
RS03AXPS-SF03A-4B-VELPTD302,,,,,,,,,,,,,,,,,,,"{'local_profile':[-1.25,1.25]}","{'local_profile':[-1,1]}","{'local_profile':[-1.4,1.8]}",,,,,,,,,,,,,,,,,
