refDes,instrument,zarrFile,nearestNeighbors,dataParameters,depths,depthMinMax,harvestInterval,decimationAlgo
RS03AXPS-SF03A-3C-PARADA301,PAR-PROFILER,RS03AXPS-SF03A-3C-PARADA301-streamed-parad_sa_sample,None,"""time,par_counts_output,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
CE04OSPS-SF01B-4F-PCO2WA102,PCO2-PROFILER,CE04OSPS-SF01B-4F-PCO2WA102-streamed-pco2w_a_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
CE04OSPS-PC01B-4D-PCO2WA105,PCO2-FIXED,CE04OSPS-PC01B-4D-PCO2WA105-streamed-pco2w_a_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure""",Single,None,1,lttb
RS01SBPS-SF01A-4F-PCO2WA101,PCO2-PROFILER,RS01SBPS-SF01A-4F-PCO2WA101-streamed-pco2w_a_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
RS03AXPS-SF03A-4F-PCO2WA301,PCO2-PROFILER,RS03AXPS-SF03A-4F-PCO2WA301-streamed-pco2w_a_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
CE02SHBP-LJ01D-09-PCO2WB103,PCO2-FIXED,CE02SHBP-LJ01D-09-PCO2WB103-streamed-pco2w_b_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure""",Single,None,1,lttb
CE04OSBP-LJ01C-09-PCO2WB104,PCO2-FIXED,CE04OSBP-LJ01C-09-PCO2WB104-streamed-pco2w_b_sami_data_record,None,"""time,pco2_seawater,int_ctd_pressure""",Single,None,1,lttb
CE04OSPS-SF01B-2B-PHSENA108,PH-PROFILER,CE04OSPS-SF01B-2B-PHSENA108-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
CE04OSPS-PC01B-4B-PHSENA106,PH-FIXED,CE04OSPS-PC01B-4B-PHSENA106-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure""",Single,None,1,lttb
RS01SBPS-PC01A-4B-PHSENA102,PH-FIXED,RS01SBPS-PC01A-4B-PHSENA102-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure""",Single,None,1,lttb
RS01SBPS-SF01A-2D-PHSENA101,PH-PROFILER,RS01SBPS-SF01A-2D-PHSENA101-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
RS03AXPS-PC03A-4B-PHSENA302,PH-FIXED,RS03AXPS-PC03A-4B-PHSENA302-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure""",Single,None,1,lttb
RS03AXPS-SF03A-2D-PHSENA301,PH-PROFILER,RS03AXPS-SF03A-2D-PHSENA301-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
CE02SHBP-LJ01D-10-PHSEND103,PH-FIXED,CE02SHBP-LJ01D-10-PHSEND103-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure""",Single,None,1,lttb
CE04OSBP-LJ01C-10-PHSEND107,PH-FIXED,CE04OSBP-LJ01C-10-PHSEND107-streamed-phsen_data_record,None,"""time,ph_seawater,int_ctd_pressure""",Single,None,1,lttb
CE04OSPS-SF01B-3D-SPKIRA102,SPKIR-PROFILER,CE04OSPS-SF01B-3D-SPKIRA102-streamed-spkir_data_record,None,"""time,spkir_downwelling_vector,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
RS01SBPS-SF01A-3D-SPKIRA101,SPKIR-PROFILER,RS01SBPS-SF01A-3D-SPKIRA101-streamed-spkir_data_record,None,"""time,spkir_downwelling_vector,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
RS03AXPS-SF03A-3D-SPKIRA301,SPKIR-PROFILER,RS03AXPS-SF03A-3D-SPKIRA301-streamed-spkir_data_record,None,"""time,spkir_downwelling_vector,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
CE04OSPS-SF01B-4B-VELPTD106,VELPT-PROFILER,CE04OSPS-SF01B-4B-VELPTD106-streamed-velpt_velocity_data,None,"""time,velpt_d_eastward_velocity,velpt_d_northward_velocity,velpt_d_upward_velocity,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
RS01SBPS-SF01A-4B-VELPTD102,VELPT-PROFILER,RS01SBPS-SF01A-4B-VELPTD102-streamed-velpt_velocity_data,None,"""time,velpt_d_eastward_velocity,velpt_d_northward_velocity,velpt_d_upward_velocity,int_ctd_pressure""","""010,025,050,075,100,125,150,175""","""0,200""",1,lttb
